
## a1 Market Analysis & Fundamentals pool=31
0	numeric	Demand is 99 Mt and supply is 96 Mt. What is the market balance (supply − demand)?	WHY: 96 − 99 = -3 Mt. Positive is surplus; negative is deficit.
1	choice	All else equal, a persistent supply deficit tends to…	WHY: A deficit must be met from inventories or demand destruction, which usually tightens the market.
2	numeric	Stocks are 32 Mt and annual demand is 260 Mt. Approximate days of cover?	WHY: 32 ÷ (260 ÷ 365) = 44.9 days of cover.
3	choice	Nearby futures above deferred futures is called…	WHY: Backwardation is an inverted curve: nearby value exceeds deferred value.
4	choice	A steep contango can economically reward…	WHY: If the deferred premium exceeds storage, finance and losses, storing and carrying inventory can be attractive.
5	numeric	Destination value is $720/t. Freight $35/t and handling $12/t. What is the implied origin netback?	WHY: 720 − 35 − 12 = $673/t.
6	choice	Two markets show the same benchmark price, but one has much higher freight to reach your buyer. Which matters for the physical decision?	WHY: Physical arbitrage is decided by all-in delivered economics, not the headline benchmark alone.
7	numeric	Product value $740/t, feedstock $650/t, processing cost $55/t. Simple processing margin?	WHY: 740 − 650 − 55 = $35/t.
8	choice	A bullish market view and a long physical exposure are…	WHY: A view is a belief. Exposure is what your P&L actually does when the market moves.
9	choice	A strong analysis note should separate facts, assumptions and conclusions because…	WHY: Separating evidence from assumptions makes a market view testable instead of narrative-only.
10	choice	Days of cover fall from 45 to 22 while the balance stays in deficit. What does that tell you?	WHY: Cover measures how long the market can absorb a shock. Low cover plus a deficit is the setup for a violent move on small news.
11	choice	A balance shows a surplus but prices keep rising. What is the most likely explanation?	WHY: A global balance hides location and quality. Material stranded behind a bottleneck does not relieve a tight consuming region.
12	choice	Why is a netback more useful than a headline benchmark when choosing where to sell?	WHY: Two destinations can show the same benchmark and pay you very differently once the route is paid for.
13	choice	Processing margins collapse to near zero across an industry. What usually follows?	WHY: Negative margins are self-correcting: plants cut runs, and the feedstock and product balances both shift.
14	choice	You have a strong bearish view but the curve is in steep backwardation. What does the curve tell you?	WHY: Backwardation is the market paying for immediacy. It can coexist with a weak forward view, and it makes being short the front expensive.
15	choice	Which evidence would most change a supply–demand view?	WHY: Views should move on quantities, not on price action that may simply be positioning.
16	choice	Why do desks track floating storage separately from onshore stocks?	WHY: Where inventory sits changes when and where it can be delivered, which is what the physical market prices.
17	choice	A producing region loses export capacity for two months. What is the first-order effect?	WHY: Supply that cannot move is not supply. Logistics failures show up as spreads before they show up in the balance.
18	choice	What is the honest limit of a supply–demand balance?	WHY: Balances are directional tools. Treating them as precise is how people become confidently wrong.
19	numeric	Capacity is 93 Mt a year and utilisation is 78%. Approximate output?	WHY: 93 × 78% = 72.5 Mt. Utilisation is where a supply forecast usually goes wrong.
20	numeric	Demand is 73 Mt and grows 3% next year. Demand next year?	WHY: 73 × (1 + 3%) = 75.2 Mt. A few points of demand growth on a large base can absorb an entire new plant.
21	numeric	Stocks fall from 40 Mt to 32 Mt over 30 days. Average inventory draw per day?	WHY: 8 ÷ 30 = 0.27 Mt/day.
22	numeric	Nearby futures are $710/t and deferred futures are $720/t. What is nearby minus deferred? Use a negative number for contango.	WHY: 710 − 720 = $-10/t.
23	numeric	Destination A pays $740/t with $30/t freight. Destination B pays $780/t with $45/t freight. By how much does A's netback exceed B's?	WHY: (740 − 30) − (780 − 45) = $-25/t.
24	numeric	One tonne of feed costs $650. Saleable yield is 86% and product value is $930/t. Processing cost is $40/t feed. Simple margin per tonne of feed?	WHY: 930 × 86% − 650 − 40 = $109.8/t feed.
25	numeric	Initial demand is 99 Mt and supply 97 Mt. A 6 Mt supply outage occurs and demand is revised by +1 Mt. New balance (supply − demand)?	WHY: (97 − 6) − (99 + 1) = -9 Mt.
26	choice	Why compare inventories with their normal seasonal range rather than only with last month?	WHY: A normal seasonal draw can look bullish in isolation. Context tells you whether inventory behaviour is actually unusual.
27	numeric	Deferred value is $16/t above prompt. Storage costs $5/t and finance $8/t. Net carry before losses?	WHY: 16 − 5 − 8 = $3/t.
28	choice	When does a regional arbitrage normally close?	WHY: Arbitrage is an all-in delivered comparison. Once the netback advantage disappears, the trade stops paying.
29	choice	Why can a small change in processing yield matter more than a small move in the headline benchmark?	WHY: A few yield points applied to large throughput can move the processing margin materially.
30	choice	A market view should include an invalidation condition because…	WHY: A thesis without a falsifiable trigger becomes a story that can survive any evidence.

## a2 Commercial Trading pool=31
0	numeric	Sell $780/t, buy $720/t, freight $35/t, finance $11/t. Net trading margin?	WHY: 780 − 720 − 35 − 11 = $14/t.
1	choice	A buyer may choose the pricing month after shipment, while your purchase month is fixed. That clause gives the buyer…	WHY: The buyer controls timing of price fixation while you carry the mismatch; that option has economic value.
